,feature,coef
364,blurb__alongside,0.6653593539403725
365,blurb__alpha,0.5078661112579113
366,blurb__alphabet,-0.04569317453524544
367,blurb__als,0.10023486775538824
368,blurb__alt,0.6767265077514438
369,blurb__alternate,-0.13122457720330918
370,blurb__alternative,-0.43809756660166116
371,blurb__aluminium,-0.31034759811297946
372,blurb__aluminum,-0.18589191735690588
373,blurb__amateur,-1.0443363904337573
374,blurb__amazing,-0.49596306163672976
375,blurb__amazon,-0.39659697430491947
376,blurb__ambient,-0.24453600968348696
377,blurb__ambition,-0.33998797039579143
378,blurb__ambitious,1.1715808014171976
379,blurb__america,0.01083572071723805
380,blurb__american,0.6940042185313788
381,blurb__americana,0.22657764850358322
382,blurb__americans,-0.2716413013093088
383,blurb__amor,-0.103116171045876
384,blurb__analog,0.7790533103472781
385,blurb__analysis,0.39242295789595044
386,blurb__ancient,0.3681519912302885
387,blurb__andrew,0.5744378925098601
388,blurb__android,0.01399574759616659
389,blurb__andy,-0.05772603408893508
390,blurb__angel,-0.48211796207007707
391,blurb__angeles,0.8043894752549425
392,blurb__angels,-0.558550750197543
393,blurb__angle,0.22654310604654915
394,blurb__angry,0.33263629371599934
395,blurb__animal,0.008080002357402616
396,blurb__animals,0.053188192650612504
397,blurb__animated,0.18665024401033772
398,blurb__animation,-0.3033501915929395
399,blurb__anime,-0.229531299917328
400,blurb__anna,0.9137017321517885
401,blurb__anniversary,0.5719092717047857
402,blurb__annual,0.8955585206583958
403,blurb__answer,-0.19304053167787477
404,blurb__answers,0.10673506729194379
405,blurb__anthology,1.7270882373830616
406,blurb__anthony,-0.1822694277052481
407,blurb__anti,0.8214969553840147
408,blurb__anticipated,0.22978829262048922
409,blurb__anxiety,0.7048449841942114
410,blurb__anymore,0.5219699850349696
411,blurb__anytime,0.3998132684698948
412,blurb__apart,-0.3296942779772894
413,blurb__apartment,0.31311595591306374
414,blurb__apocalypse,0.22015210492015105
415,blurb__apocalyptic,0.404626717286972
416,blurb__app,-0.6013978279082348
417,blurb__apparel,-0.7685329154900448
418,blurb__appearance,-0.7386383022525403
419,blurb__apple,0.2955998310179413
420,blurb__application,-0.427698560226561
421,blurb__applications,-0.17532847847742472
422,blurb__appreciate,-0.45895011156173937
423,blurb__appreciated,-1.5399995364102506
424,blurb__approach,-0.41677542819144714
425,blurb__approved,-0.2839842737353803
426,blurb__apps,0.9470004706158259
427,blurb__april,0.6999617554422359
428,blurb__ar,0.566842881473598
429,blurb__arc,-0.3456141676799168
430,blurb__arcade,-0.007470929080865377
431,blurb__arcana,-0.08784276814344322
432,blurb__architectural,0.1294934582324239
433,blurb__architecture,0.7169162617698099
434,blurb__archive,1.2876181466331968
435,blurb__arctic,0.9243829228964805
436,blurb__arduino,0.631022866258907
437,blurb__area,-0.7422701879589773
438,blurb__areas,-0.9948998449195601
439,blurb__aren,0.052502087336309414
